"icd_10_pcs","valid_flag","short_description","long_description"
"0Q9P0ZX",1,"Drainage of Left Metatarsal, Open Approach, Diagnostic","Drainage of Left Metatarsal, Open Approach, Diagnostic"
"0Q9P0ZZ",1,"Drainage of Left Metatarsal, Open Approach","Drainage of Left Metatarsal, Open Approach"
"0Q9P30Z",1,"Drainage of Left Metatarsal with Drain Dev, Perc Approach","Drainage of Left Metatarsal with Drainage Device, Percutaneous Approach"
"0Q9P3ZX",1,"Drainage of Left Metatarsal, Percutaneous Approach, Diagn","Drainage of Left Metatarsal, Percutaneous Approach, Diagnostic"
"0Q9P3ZZ",1,"Drainage of Left Metatarsal, Percutaneous Approach","Drainage of Left Metatarsal, Percutaneous Approach"
"0Q9P40Z",1,"Drainage of L Metatarsal with Drain Dev, Perc Endo Approach","Drainage of Left Metatarsal with Drainage Device, Percutaneous Endoscopic Approach"
"0Q9P4ZX",1,"Drainage of Left Metatarsal, Perc Endo Approach, Diagn","Drainage of Left Metatarsal, Percutaneous Endoscopic Approach, Diagnostic"
"0Q9P4ZZ",1,"Drainage of Left Metatarsal, Perc Endo Approach","Drainage of Left Metatarsal, Percutaneous Endoscopic Approach"
"0Q9Q00Z",1,"Drainage of Right Toe Phalanx with Drain Dev, Open Approach","Drainage of Right Toe Phalanx with Drainage Device, Open Approach"
"0Q9Q0ZX",1,"Drainage of Right Toe Phalanx, Open Approach, Diagnostic","Drainage of Right Toe Phalanx, Open Approach, Diagnostic"
"0Q9Q0ZZ",1,"Drainage of Right Toe Phalanx, Open Approach","Drainage of Right Toe Phalanx, Open Approach"
"0Q9Q30Z",1,"Drainage of Right Toe Phalanx with Drain Dev, Perc Approach","Drainage of Right Toe Phalanx with Drainage Device, Percutaneous Approach"
"0Q9Q3ZX",1,"Drainage of Right Toe Phalanx, Percutaneous Approach, Diagn","Drainage of Right Toe Phalanx, Percutaneous Approach, Diagnostic"
"0Q9Q3ZZ",1,"Drainage of Right Toe Phalanx, Percutaneous Approach","Drainage of Right Toe Phalanx, Percutaneous Approach"
"0Q9Q40Z",1,"Drainage of R Toe Phalanx with Drain Dev, Perc Endo Approach","Drainage of Right Toe Phalanx with Drainage Device, Percutaneous Endoscopic Approach"
"0Q9Q4ZX",1,"Drainage of Right Toe Phalanx, Perc Endo Approach, Diagn","Drainage of Right Toe Phalanx, Percutaneous Endoscopic Approach, Diagnostic"
"0Q9Q4ZZ",1,"Drainage of Right Toe Phalanx, Perc Endo Approach","Drainage of Right Toe Phalanx, Percutaneous Endoscopic Approach"
"0Q9R00Z",1,"Drainage of Left Toe Phalanx with Drain Dev, Open Approach","Drainage of Left Toe Phalanx with Drainage Device, Open Approach"
"0Q9R0ZX",1,"Drainage of Left Toe Phalanx, Open Approach, Diagnostic","Drainage of Left Toe Phalanx, Open Approach, Diagnostic"
"0Q9R0ZZ",1,"Drainage of Left Toe Phalanx, Open Approach","Drainage of Left Toe Phalanx, Open Approach"
"0Q9R30Z",1,"Drainage of Left Toe Phalanx with Drain Dev, Perc Approach","Drainage of Left Toe Phalanx with Drainage Device, Percutaneous Approach"
"0Q9R3ZX",1,"Drainage of Left Toe Phalanx, Percutaneous Approach, Diagn","Drainage of Left Toe Phalanx, Percutaneous Approach, Diagnostic"
"0Q9R3ZZ",1,"Drainage of Left Toe Phalanx, Percutaneous Approach","Drainage of Left Toe Phalanx, Percutaneous Approach"
"0Q9R40Z",1,"Drainage of L Toe Phalanx with Drain Dev, Perc Endo Approach","Drainage of Left Toe Phalanx with Drainage Device, Percutaneous Endoscopic Approach"
"0Q9R4ZX",1,"Drainage of Left Toe Phalanx, Perc Endo Approach, Diagn","Drainage of Left Toe Phalanx, Percutaneous Endoscopic Approach, Diagnostic"
"0Q9R4ZZ",1,"Drainage of Left Toe Phalanx, Perc Endo Approach","Drainage of Left Toe Phalanx, Percutaneous Endoscopic Approach"
"0Q9S00Z",1,"Drainage of Coccyx with Drainage Device, Open Approach","Drainage of Coccyx with Drainage Device, Open Approach"
"0Q9S0ZX",1,"Drainage of Coccyx, Open Approach, Diagnostic","Drainage of Coccyx, Open Approach, Diagnostic"
"0Q9S0ZZ",1,"Drainage of Coccyx, Open Approach","Drainage of Coccyx, Open Approach"
"0Q9S30Z",1,"Drainage of Coccyx with Drainage Device, Perc Approach","Drainage of Coccyx with Drainage Device, Percutaneous Approach"
"0Q9S3ZX",1,"Drainage of Coccyx, Percutaneous Approach, Diagnostic","Drainage of Coccyx, Percutaneous Approach, Diagnostic"
"0Q9S3ZZ",1,"Drainage of Coccyx, Percutaneous Approach","Drainage of Coccyx, Percutaneous Approach"
"0Q9S40Z",1,"Drainage of Coccyx with Drainage Device, Perc Endo Approach","Drainage of Coccyx with Drainage Device, Percutaneous Endoscopic Approach"
"0Q9S4ZX",1,"Drainage of Coccyx, Percutaneous Endoscopic Approach, Diagn","Drainage of Coccyx, Percutaneous Endoscopic Approach, Diagnostic"
"0Q9S4ZZ",1,"Drainage of Coccyx, Percutaneous Endoscopic Approach","Drainage of Coccyx, Percutaneous Endoscopic Approach"
"0QB",0,"Lower Bones, Excision","Lower Bones, Excision"
"0QB00ZX",1,"Excision of Lumbar Vertebra, Open Approach, Diagnostic","Excision of Lumbar Vertebra, Open Approach, Diagnostic"
"0QB00ZZ",1,"Excision of Lumbar Vertebra, Open Approach","Excision of Lumbar Vertebra, Open Approach"
"0QB03ZX",1,"Excision of Lumbar Vertebra, Percutaneous Approach, Diagn","Excision of Lumbar Vertebra, Percutaneous Approach, Diagnostic"
"0QB03ZZ",1,"Excision of Lumbar Vertebra, Percutaneous Approach","Excision of Lumbar Vertebra, Percutaneous Approach"
"0QB04ZX",1,"Excision of Lumbar Vertebra, Perc Endo Approach, Diagn","Excision of Lumbar Vertebra, Percutaneous Endoscopic Approach, Diagnostic"
"0QB04ZZ",1,"Excision of Lumbar Vertebra, Perc Endo Approach","Excision of Lumbar Vertebra, Percutaneous Endoscopic Approach"
"0QB10ZX",1,"Excision of Sacrum, Open Approach, Diagnostic","Excision of Sacrum, Open Approach, Diagnostic"
"0QB10ZZ",1,"Excision of Sacrum, Open Approach","Excision of Sacrum, Open Approach"
"0QB13ZX",1,"Excision of Sacrum, Percutaneous Approach, Diagnostic","Excision of Sacrum, Percutaneous Approach, Diagnostic"
"0QB13ZZ",1,"Excision of Sacrum, Percutaneous Approach","Excision of Sacrum, Percutaneous Approach"
"0QB14ZX",1,"Excision of Sacrum, Percutaneous Endoscopic Approach, Diagn","Excision of Sacrum, Percutaneous Endoscopic Approach, Diagnostic"
"0QB14ZZ",1,"Excision of Sacrum, Percutaneous Endoscopic Approach","Excision of Sacrum, Percutaneous Endoscopic Approach"
"0QB20ZX",1,"Excision of Right Pelvic Bone, Open Approach, Diagnostic","Excision of Right Pelvic Bone, Open Approach, Diagnostic"
"0QB20ZZ",1,"Excision of Right Pelvic Bone, Open Approach","Excision of Right Pelvic Bone, Open Approach"
"0QB23ZX",1,"Excision of Right Pelvic Bone, Percutaneous Approach, Diagn","Excision of Right Pelvic Bone, Percutaneous Approach, Diagnostic"
"0QB23ZZ",1,"Excision of Right Pelvic Bone, Percutaneous Approach","Excision of Right Pelvic Bone, Percutaneous Approach"
"0QB24ZX",1,"Excision of Right Pelvic Bone, Perc Endo Approach, Diagn","Excision of Right Pelvic Bone, Percutaneous Endoscopic Approach, Diagnostic"
"0QB24ZZ",1,"Excision of Right Pelvic Bone, Perc Endo Approach","Excision of Right Pelvic Bone, Percutaneous Endoscopic Approach"
"0QB30ZX",1,"Excision of Left Pelvic Bone, Open Approach, Diagnostic","Excision of Left Pelvic Bone, Open Approach, Diagnostic"
"0QB30ZZ",1,"Excision of Left Pelvic Bone, Open Approach","Excision of Left Pelvic Bone, Open Approach"
"0QB33ZX",1,"Excision of Left Pelvic Bone, Percutaneous Approach, Diagn","Excision of Left Pelvic Bone, Percutaneous Approach, Diagnostic"
"0QB33ZZ",1,"Excision of Left Pelvic Bone, Percutaneous Approach","Excision of Left Pelvic Bone, Percutaneous Approach"
"0QB34ZX",1,"Excision of Left Pelvic Bone, Perc Endo Approach, Diagn","Excision of Left Pelvic Bone, Percutaneous Endoscopic Approach, Diagnostic"
"0QB34ZZ",1,"Excision of Left Pelvic Bone, Perc Endo Approach","Excision of Left Pelvic Bone, Percutaneous Endoscopic Approach"
"0QB40ZX",1,"Excision of Right Acetabulum, Open Approach, Diagnostic","Excision of Right Acetabulum, Open Approach, Diagnostic"
"0QB40ZZ",1,"Excision of Right Acetabulum, Open Approach","Excision of Right Acetabulum, Open Approach"
"0QB43ZX",1,"Excision of Right Acetabulum, Percutaneous Approach, Diagn","Excision of Right Acetabulum, Percutaneous Approach, Diagnostic"
"0QB43ZZ",1,"Excision of Right Acetabulum, Percutaneous Approach","Excision of Right Acetabulum, Percutaneous Approach"
"0QB44ZX",1,"Excision of Right Acetabulum, Perc Endo Approach, Diagn","Excision of Right Acetabulum, Percutaneous Endoscopic Approach, Diagnostic"
"0QB44ZZ",1,"Excision of Right Acetabulum, Perc Endo Approach","Excision of Right Acetabulum, Percutaneous Endoscopic Approach"
"0QB50ZX",1,"Excision of Left Acetabulum, Open Approach, Diagnostic","Excision of Left Acetabulum, Open Approach, Diagnostic"
"0QB50ZZ",1,"Excision of Left Acetabulum, Open Approach","Excision of Left Acetabulum, Open Approach"
"0QB53ZX",1,"Excision of Left Acetabulum, Percutaneous Approach, Diagn","Excision of Left Acetabulum, Percutaneous Approach, Diagnostic"
"0QB53ZZ",1,"Excision of Left Acetabulum, Percutaneous Approach","Excision of Left Acetabulum, Percutaneous Approach"
"0QB54ZX",1,"Excision of Left Acetabulum, Perc Endo Approach, Diagn","Excision of Left Acetabulum, Percutaneous Endoscopic Approach, Diagnostic"
"0QB54ZZ",1,"Excision of Left Acetabulum, Perc Endo Approach","Excision of Left Acetabulum, Percutaneous Endoscopic Approach"
"0QB60ZX",1,"Excision of Right Upper Femur, Open Approach, Diagnostic","Excision of Right Upper Femur, Open Approach, Diagnostic"
"0QB60ZZ",1,"Excision of Right Upper Femur, Open Approach","Excision of Right Upper Femur, Open Approach"
"0QB63ZX",1,"Excision of Right Upper Femur, Percutaneous Approach, Diagn","Excision of Right Upper Femur, Percutaneous Approach, Diagnostic"
"0QB63ZZ",1,"Excision of Right Upper Femur, Percutaneous Approach","Excision of Right Upper Femur, Percutaneous Approach"
"0QB64ZX",1,"Excision of Right Upper Femur, Perc Endo Approach, Diagn","Excision of Right Upper Femur, Percutaneous Endoscopic Approach, Diagnostic"
"0QB64ZZ",1,"Excision of Right Upper Femur, Perc Endo Approach","Excision of Right Upper Femur, Percutaneous Endoscopic Approach"
"0QB70ZX",1,"Excision of Left Upper Femur, Open Approach, Diagnostic","Excision of Left Upper Femur, Open Approach, Diagnostic"
"0QB70ZZ",1,"Excision of Left Upper Femur, Open Approach","Excision of Left Upper Femur, Open Approach"
"0QB73ZX",1,"Excision of Left Upper Femur, Percutaneous Approach, Diagn","Excision of Left Upper Femur, Percutaneous Approach, Diagnostic"
"0QB73ZZ",1,"Excision of Left Upper Femur, Percutaneous Approach","Excision of Left Upper Femur, Percutaneous Approach"
"0QB74ZX",1,"Excision of Left Upper Femur, Perc Endo Approach, Diagn","Excision of Left Upper Femur, Percutaneous Endoscopic Approach, Diagnostic"
"0QB74ZZ",1,"Excision of Left Upper Femur, Perc Endo Approach","Excision of Left Upper Femur, Percutaneous Endoscopic Approach"
"0QB80ZX",1,"Excision of Right Femoral Shaft, Open Approach, Diagnostic","Excision of Right Femoral Shaft, Open Approach, Diagnostic"
"0QB80ZZ",1,"Excision of Right Femoral Shaft, Open Approach","Excision of Right Femoral Shaft, Open Approach"
"0QB83ZX",1,"Excision of Right Femoral Shaft, Perc Approach, Diagn","Excision of Right Femoral Shaft, Percutaneous Approach, Diagnostic"
"0QB83ZZ",1,"Excision of Right Femoral Shaft, Percutaneous Approach","Excision of Right Femoral Shaft, Percutaneous Approach"
"0QB84ZX",1,"Excision of Right Femoral Shaft, Perc Endo Approach, Diagn","Excision of Right Femoral Shaft, Percutaneous Endoscopic Approach, Diagnostic"
"0QB84ZZ",1,"Excision of Right Femoral Shaft, Perc Endo Approach","Excision of Right Femoral Shaft, Percutaneous Endoscopic Approach"
"0QB90ZX",1,"Excision of Left Femoral Shaft, Open Approach, Diagnostic","Excision of Left Femoral Shaft, Open Approach, Diagnostic"
"0QB90ZZ",1,"Excision of Left Femoral Shaft, Open Approach","Excision of Left Femoral Shaft, Open Approach"
"0QB93ZX",1,"Excision of Left Femoral Shaft, Percutaneous Approach, Diagn","Excision of Left Femoral Shaft, Percutaneous Approach, Diagnostic"
"0QB93ZZ",1,"Excision of Left Femoral Shaft, Percutaneous Approach","Excision of Left Femoral Shaft, Percutaneous Approach"
"0QB94ZX",1,"Excision of Left Femoral Shaft, Perc Endo Approach, Diagn","Excision of Left Femoral Shaft, Percutaneous Endoscopic Approach, Diagnostic"
"0QB94ZZ",1,"Excision of Left Femoral Shaft, Perc Endo Approach","Excision of Left Femoral Shaft, Percutaneous Endoscopic Approach"
"0QBB0ZX",1,"Excision of Right Lower Femur, Open Approach, Diagnostic","Excision of Right Lower Femur, Open Approach, Diagnostic"
"0QBB0ZZ",1,"Excision of Right Lower Femur, Open Approach","Excision of Right Lower Femur, Open Approach"
"0QBB3ZX",1,"Excision of Right Lower Femur, Percutaneous Approach, Diagn","Excision of Right Lower Femur, Percutaneous Approach, Diagnostic"
"0QBB3ZZ",1,"Excision of Right Lower Femur, Percutaneous Approach","Excision of Right Lower Femur, Percutaneous Approach"
"0QBB4ZX",1,"Excision of Right Lower Femur, Perc Endo Approach, Diagn","Excision of Right Lower Femur, Percutaneous Endoscopic Approach, Diagnostic"
"0QBB4ZZ",1,"Excision of Right Lower Femur, Perc Endo Approach","Excision of Right Lower Femur, Percutaneous Endoscopic Approach"
"0QBC0ZX",1,"Excision of Left Lower Femur, Open Approach, Diagnostic","Excision of Left Lower Femur, Open Approach, Diagnostic"
"0QBC0ZZ",1,"Excision of Left Lower Femur, Open Approach","Excision of Left Lower Femur, Open Approach"
"0QBC3ZX",1,"Excision of Left Lower Femur, Percutaneous Approach, Diagn","Excision of Left Lower Femur, Percutaneous Approach, Diagnostic"
"0QBC3ZZ",1,"Excision of Left Lower Femur, Percutaneous Approach","Excision of Left Lower Femur, Percutaneous Approach"
"0QBC4ZX",1,"Excision of Left Lower Femur, Perc Endo Approach, Diagn","Excision of Left Lower Femur, Percutaneous Endoscopic Approach, Diagnostic"
"0QBC4ZZ",1,"Excision of Left Lower Femur, Perc Endo Approach","Excision of Left Lower Femur, Percutaneous Endoscopic Approach"
"0QBD0ZX",1,"Excision of Right Patella, Open Approach, Diagnostic","Excision of Right Patella, Open Approach, Diagnostic"
"0QBD0ZZ",1,"Excision of Right Patella, Open Approach","Excision of Right Patella, Open Approach"
"0QBD3ZX",1,"Excision of Right Patella, Percutaneous Approach, Diagnostic","Excision of Right Patella, Percutaneous Approach, Diagnostic"
"0QBD3ZZ",1,"Excision of Right Patella, Percutaneous Approach","Excision of Right Patella, Percutaneous Approach"
"0QBD4ZX",1,"Excision of Right Patella, Perc Endo Approach, Diagn","Excision of Right Patella, Percutaneous Endoscopic Approach, Diagnostic"
"0QBD4ZZ",1,"Excision of Right Patella, Percutaneous Endoscopic Approach","Excision of Right Patella, Percutaneous Endoscopic Approach"
"0QBF0ZX",1,"Excision of Left Patella, Open Approach, Diagnostic","Excision of Left Patella, Open Approach, Diagnostic"
"0QBF0ZZ",1,"Excision of Left Patella, Open Approach","Excision of Left Patella, Open Approach"
"0QBF3ZX",1,"Excision of Left Patella, Percutaneous Approach, Diagnostic","Excision of Left Patella, Percutaneous Approach, Diagnostic"
"0QBF3ZZ",1,"Excision of Left Patella, Percutaneous Approach","Excision of Left Patella, Percutaneous Approach"
"0QBF4ZX",1,"Excision of Left Patella, Perc Endo Approach, Diagn","Excision of Left Patella, Percutaneous Endoscopic Approach, Diagnostic"
"0QBF4ZZ",1,"Excision of Left Patella, Percutaneous Endoscopic Approach","Excision of Left Patella, Percutaneous Endoscopic Approach"
"0QBG0ZX",1,"Excision of Right Tibia, Open Approach, Diagnostic","Excision of Right Tibia, Open Approach, Diagnostic"
"0QBG0ZZ",1,"Excision of Right Tibia, Open Approach","Excision of Right Tibia, Open Approach"
"0QBG3ZX",1,"Excision of Right Tibia, Percutaneous Approach, Diagnostic","Excision of Right Tibia, Percutaneous Approach, Diagnostic"
"0QBG3ZZ",1,"Excision of Right Tibia, Percutaneous Approach","Excision of Right Tibia, Percutaneous Approach"
"0QBG4ZX",1,"Excision of Right Tibia, Perc Endo Approach, Diagn","Excision of Right Tibia, Percutaneous Endoscopic Approach, Diagnostic"
"0QBG4ZZ",1,"Excision of Right Tibia, Percutaneous Endoscopic Approach","Excision of Right Tibia, Percutaneous Endoscopic Approach"
"0QBH0ZX",1,"Excision of Left Tibia, Open Approach, Diagnostic","Excision of Left Tibia, Open Approach, Diagnostic"
"0QBH0ZZ",1,"Excision of Left Tibia, Open Approach","Excision of Left Tibia, Open Approach"
"0QBH3ZX",1,"Excision of Left Tibia, Percutaneous Approach, Diagnostic","Excision of Left Tibia, Percutaneous Approach, Diagnostic"
"0QBH3ZZ",1,"Excision of Left Tibia, Percutaneous Approach","Excision of Left Tibia, Percutaneous Approach"
"0QBH4ZX",1,"Excision of Left Tibia, Perc Endo Approach, Diagn","Excision of Left Tibia, Percutaneous Endoscopic Approach, Diagnostic"
"0QBH4ZZ",1,"Excision of Left Tibia, Percutaneous Endoscopic Approach","Excision of Left Tibia, Percutaneous Endoscopic Approach"
"0QBJ0ZX",1,"Excision of Right Fibula, Open Approach, Diagnostic","Excision of Right Fibula, Open Approach, Diagnostic"
"0QBJ0ZZ",1,"Excision of Right Fibula, Open Approach","Excision of Right Fibula, Open Approach"
"0QBJ3ZX",1,"Excision of Right Fibula, Percutaneous Approach, Diagnostic","Excision of Right Fibula, Percutaneous Approach, Diagnostic"
"0QBJ3ZZ",1,"Excision of Right Fibula, Percutaneous Approach","Excision of Right Fibula, Percutaneous Approach"
"0QBJ4ZX",1,"Excision of Right Fibula, Perc Endo Approach, Diagn","Excision of Right Fibula, Percutaneous Endoscopic Approach, Diagnostic"
"0QBJ4ZZ",1,"Excision of Right Fibula, Percutaneous Endoscopic Approach","Excision of Right Fibula, Percutaneous Endoscopic Approach"
"0QBK0ZX",1,"Excision of Left Fibula, Open Approach, Diagnostic","Excision of Left Fibula, Open Approach, Diagnostic"
"0QBK0ZZ",1,"Excision of Left Fibula, Open Approach","Excision of Left Fibula, Open Approach"
"0QBK3ZX",1,"Excision of Left Fibula, Percutaneous Approach, Diagnostic","Excision of Left Fibula, Percutaneous Approach, Diagnostic"
"0QBK3ZZ",1,"Excision of Left Fibula, Percutaneous Approach","Excision of Left Fibula, Percutaneous Approach"
"0QBK4ZX",1,"Excision of Left Fibula, Perc Endo Approach, Diagn","Excision of Left Fibula, Percutaneous Endoscopic Approach, Diagnostic"
"0QBK4ZZ",1,"Excision of Left Fibula, Percutaneous Endoscopic Approach","Excision of Left Fibula, Percutaneous Endoscopic Approach"
"0QBL0ZX",1,"Excision of Right Tarsal, Open Approach, Diagnostic","Excision of Right Tarsal, Open Approach, Diagnostic"
"0QBL0ZZ",1,"Excision of Right Tarsal, Open Approach","Excision of Right Tarsal, Open Approach"
"0QBL3ZX",1,"Excision of Right Tarsal, Percutaneous Approach, Diagnostic","Excision of Right Tarsal, Percutaneous Approach, Diagnostic"
"0QBL3ZZ",1,"Excision of Right Tarsal, Percutaneous Approach","Excision of Right Tarsal, Percutaneous Approach"
"0QBL4ZX",1,"Excision of Right Tarsal, Perc Endo Approach, Diagn","Excision of Right Tarsal, Percutaneous Endoscopic Approach, Diagnostic"
"0QBL4ZZ",1,"Excision of Right Tarsal, Percutaneous Endoscopic Approach","Excision of Right Tarsal, Percutaneous Endoscopic Approach"
"0QBM0ZX",1,"Excision of Left Tarsal, Open Approach, Diagnostic","Excision of Left Tarsal, Open Approach, Diagnostic"
"0QBM0ZZ",1,"Excision of Left Tarsal, Open Approach","Excision of Left Tarsal, Open Approach"
"0QBM3ZX",1,"Excision of Left Tarsal, Percutaneous Approach, Diagnostic","Excision of Left Tarsal, Percutaneous Approach, Diagnostic"
"0QBM3ZZ",1,"Excision of Left Tarsal, Percutaneous Approach","Excision of Left Tarsal, Percutaneous Approach"
"0QBM4ZX",1,"Excision of Left Tarsal, Perc Endo Approach, Diagn","Excision of Left Tarsal, Percutaneous Endoscopic Approach, Diagnostic"
"0QBM4ZZ",1,"Excision of Left Tarsal, Percutaneous Endoscopic Approach","Excision of Left Tarsal, Percutaneous Endoscopic Approach"
"0QBN0Z2",1,"Excision of Right Metatarsal, Sesamd Bn, Open Approach","Excision of Right Metatarsal, Sesamoid Bone(s) 1st Toe, Open Approach"
"0QBN0ZX",1,"Excision of Right Metatarsal, Open Approach, Diagnostic","Excision of Right Metatarsal, Open Approach, Diagnostic"
"0QBN0ZZ",1,"Excision of Right Metatarsal, Open Approach","Excision of Right Metatarsal, Open Approach"
"0QBN3Z2",1,"Excision of Right Metatarsal, Sesamd Bn, Perc Approach","Excision of Right Metatarsal, Sesamoid Bone(s) 1st Toe, Percutaneous Approach"
"0QBN3ZX",1,"Excision of Right Metatarsal, Percutaneous Approach, Diagn","Excision of Right Metatarsal, Percutaneous Approach, Diagnostic"
"0QBN3ZZ",1,"Excision of Right Metatarsal, Percutaneous Approach","Excision of Right Metatarsal, Percutaneous Approach"
"0QBN4Z2",1,"Excision of Right Metatarsal, Sesamd Bn, Perc Endo Approach","Excision of Right Metatarsal, Sesamoid Bone(s) 1st Toe, Percutaneous Endoscopic Approach"
"0QBN4ZX",1,"Excision of Right Metatarsal, Perc Endo Approach, Diagn","Excision of Right Metatarsal, Percutaneous Endoscopic Approach, Diagnostic"
"0QBN4ZZ",1,"Excision of Right Metatarsal, Perc Endo Approach","Excision of Right Metatarsal, Percutaneous Endoscopic Approach"
"0QBP0Z2",1,"Excision of Left Metatarsal, Sesamd Bn, Open Approach","Excision of Left Metatarsal, Sesamoid Bone(s) 1st Toe, Open Approach"
"0QBP0ZX",1,"Excision of Left Metatarsal, Open Approach, Diagnostic","Excision of Left Metatarsal, Open Approach, Diagnostic"
"0QBP0ZZ",1,"Excision of Left Metatarsal, Open Approach","Excision of Left Metatarsal, Open Approach"
"0QBP3Z2",1,"Excision of Left Metatarsal, Sesamd Bn, Perc Approach","Excision of Left Metatarsal, Sesamoid Bone(s) 1st Toe, Percutaneous Approach"
"0QBP3ZX",1,"Excision of Left Metatarsal, Percutaneous Approach, Diagn","Excision of Left Metatarsal, Percutaneous Approach, Diagnostic"
"0QBP3ZZ",1,"Excision of Left Metatarsal, Percutaneous Approach","Excision of Left Metatarsal, Percutaneous Approach"
"0QBP4Z2",1,"Excision of Left Metatarsal, Sesamd Bn, Perc Endo Approach","Excision of Left Metatarsal, Sesamoid Bone(s) 1st Toe, Percutaneous Endoscopic Approach"
"0QBP4ZX",1,"Excision of Left Metatarsal, Perc Endo Approach, Diagn","Excision of Left Metatarsal, Percutaneous Endoscopic Approach, Diagnostic"
"0QBP4ZZ",1,"Excision of Left Metatarsal, Perc Endo Approach","Excision of Left Metatarsal, Percutaneous Endoscopic Approach"
"0QBQ0ZX",1,"Excision of Right Toe Phalanx, Open Approach, Diagnostic","Excision of Right Toe Phalanx, Open Approach, Diagnostic"
"0QBQ0ZZ",1,"Excision of Right Toe Phalanx, Open Approach","Excision of Right Toe Phalanx, Open Approach"
"0QBQ3ZX",1,"Excision of Right Toe Phalanx, Percutaneous Approach, Diagn","Excision of Right Toe Phalanx, Percutaneous Approach, Diagnostic"
"0QBQ3ZZ",1,"Excision of Right Toe Phalanx, Percutaneous Approach","Excision of Right Toe Phalanx, Percutaneous Approach"
"0QBQ4ZX",1,"Excision of Right Toe Phalanx, Perc Endo Approach, Diagn","Excision of Right Toe Phalanx, Percutaneous Endoscopic Approach, Diagnostic"
"0QBQ4ZZ",1,"Excision of Right Toe Phalanx, Perc Endo Approach","Excision of Right Toe Phalanx, Percutaneous Endoscopic Approach"
"0QBR0ZX",1,"Excision of Left Toe Phalanx, Open Approach, Diagnostic","Excision of Left Toe Phalanx, Open Approach, Diagnostic"
"0QBR0ZZ",1,"Excision of Left Toe Phalanx, Open Approach","Excision of Left Toe Phalanx, Open Approach"
"0QBR3ZX",1,"Excision of Left Toe Phalanx, Percutaneous Approach, Diagn","Excision of Left Toe Phalanx, Percutaneous Approach, Diagnostic"
"0QBR3ZZ",1,"Excision of Left Toe Phalanx, Percutaneous Approach","Excision of Left Toe Phalanx, Percutaneous Approach"
"0QBR4ZX",1,"Excision of Left Toe Phalanx, Perc Endo Approach, Diagn","Excision of Left Toe Phalanx, Percutaneous Endoscopic Approach, Diagnostic"
"0QBR4ZZ",1,"Excision of Left Toe Phalanx, Perc Endo Approach","Excision of Left Toe Phalanx, Percutaneous Endoscopic Approach"
"0QBS0ZX",1,"Excision of Coccyx, Open Approach, Diagnostic","Excision of Coccyx, Open Approach, Diagnostic"
"0QBS0ZZ",1,"Excision of Coccyx, Open Approach","Excision of Coccyx, Open Approach"
"0QBS3ZX",1,"Excision of Coccyx, Percutaneous Approach, Diagnostic","Excision of Coccyx, Percutaneous Approach, Diagnostic"
"0QBS3ZZ",1,"Excision of Coccyx, Percutaneous Approach","Excision of Coccyx, Percutaneous Approach"
"0QBS4ZX",1,"Excision of Coccyx, Percutaneous Endoscopic Approach, Diagn","Excision of Coccyx, Percutaneous Endoscopic Approach, Diagnostic"
"0QBS4ZZ",1,"Excision of Coccyx, Percutaneous Endoscopic Approach","Excision of Coccyx, Percutaneous Endoscopic Approach"
"0QC",0,"Lower Bones, Extirpation","Lower Bones, Extirpation"
"0QC00ZZ",1,"Extirpation of Matter from Lumbar Vertebra, Open Approach","Extirpation of Matter from Lumbar Vertebra, Open Approach"
"0QC03ZZ",1,"Extirpation of Matter from Lumbar Vertebra, Perc Approach","Extirpation of Matter from Lumbar Vertebra, Percutaneous Approach"
"0QC04ZZ",1,"Extirpation of Matter from Lum Vertebra, Perc Endo Approach","Extirpation of Matter from Lumbar Vertebra, Percutaneous Endoscopic Approach"
"0QC10ZZ",1,"Extirpation of Matter from Sacrum, Open Approach","Extirpation of Matter from Sacrum, Open Approach"
"0QC13ZZ",1,"Extirpation of Matter from Sacrum, Percutaneous Approach","Extirpation of Matter from Sacrum, Percutaneous Approach"
"0QC14ZZ",1,"Extirpation of Matter from Sacrum, Perc Endo Approach","Extirpation of Matter from Sacrum, Percutaneous Endoscopic Approach"
"0QC20ZZ",1,"Extirpation of Matter from Right Pelvic Bone, Open Approach","Extirpation of Matter from Right Pelvic Bone, Open Approach"
"0QC23ZZ",1,"Extirpation of Matter from Right Pelvic Bone, Perc Approach","Extirpation of Matter from Right Pelvic Bone, Percutaneous Approach"
"0QC24ZZ",1,"Extirpation of Matter from R Pelvic Bone, Perc Endo Approach","Extirpation of Matter from Right Pelvic Bone, Percutaneous Endoscopic Approach"
"0QC30ZZ",1,"Extirpation of Matter from Left Pelvic Bone, Open Approach","Extirpation of Matter from Left Pelvic Bone, Open Approach"
"0QC33ZZ",1,"Extirpation of Matter from Left Pelvic Bone, Perc Approach","Extirpation of Matter from Left Pelvic Bone, Percutaneous Approach"
"0QC34ZZ",1,"Extirpation of Matter from L Pelvic Bone, Perc Endo Approach","Extirpation of Matter from Left Pelvic Bone, Percutaneous Endoscopic Approach"
"0QC40ZZ",1,"Extirpation of Matter from Right Acetabulum, Open Approach","Extirpation of Matter from Right Acetabulum, Open Approach"
"0QC43ZZ",1,"Extirpation of Matter from Right Acetabulum, Perc Approach","Extirpation of Matter from Right Acetabulum, Percutaneous Approach"
